sound,url,value,page,page_order,page_duration,is_replicate,on_web,experiment,submission_id
JY3,sounds/Angels In Amplifiers - I_m Alright/JY3_vocals.flac,False,Set 2,7,57.8002721088435,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Angels In Amplifiers - I_m Alright/MDL1_vocals.flac,False,Set 2,7,57.8002721088435,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Angels In Amplifiers - I_m Alright/STL1_vocals.flac,False,Set 2,7,57.8002721088435,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Angels In Amplifiers - I_m Alright/TAK2_vocals.flac,False,Set 2,7,57.8002721088435,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Angels In Amplifiers - I_m Alright/TAU1_vocals.flac,False,Set 2,7,57.8002721088435,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Angels In Amplifiers - I_m Alright/UHL3_vocals.flac,True,Set 2,7,57.8002721088435,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/Ben Carrigan - We_ll Talk About It All Tonight/JY3_vocals.flac,False,Set 3,6,45.40952380952376,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Ben Carrigan - We_ll Talk About It All Tonight/MDL1_vocals.flac,False,Set 3,6,45.40952380952376,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Ben Carrigan - We_ll Talk About It All Tonight/STL1_vocals.flac,False,Set 3,6,45.40952380952376,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Ben Carrigan - We_ll Talk About It All Tonight/TAK2_vocals.flac,False,Set 3,6,45.40952380952376,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Ben Carrigan - We_ll Talk About It All Tonight/TAU1_vocals.flac,True,Set 3,6,45.40952380952376,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Ben Carrigan - We_ll Talk About It All Tonight/UHL3_vocals.flac,False,Set 3,6,45.40952380952376,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/Buitraker - Revo X/JY3_vocals.flac,False,Set 4,1,69.51183673469387,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Buitraker - Revo X/MDL1_vocals.flac,False,Set 4,1,69.51183673469387,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Buitraker - Revo X/STL1_vocals.flac,False,Set 4,1,69.51183673469387,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Buitraker - Revo X/TAK2_vocals.flac,False,Set 4,1,69.51183673469387,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Buitraker - Revo X/TAU1_vocals.flac,True,Set 4,1,69.51183673469387,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Buitraker - Revo X/UHL3_vocals.flac,False,Set 4,1,69.51183673469387,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/Enda Reilly - Cur An Long Ag Seol/JY3_vocals.flac,False,Set 5,9,2.7921995464852216,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Enda Reilly - Cur An Long Ag Seol/MDL1_vocals.flac,False,Set 5,9,2.7921995464852216,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Enda Reilly - Cur An Long Ag Seol/STL1_vocals.flac,False,Set 5,9,2.7921995464852216,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Enda Reilly - Cur An Long Ag Seol/TAK2_vocals.flac,False,Set 5,9,2.7921995464852216,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Enda Reilly - Cur An Long Ag Seol/TAU1_vocals.flac,False,Set 5,9,2.7921995464852216,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Enda Reilly - Cur An Long Ag Seol/UHL3_vocals.flac,False,Set 5,9,2.7921995464852216,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/Hollow Ground - Ill Fate/JY3_vocals.flac,False,Set 7,3,80.35845804988662,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Hollow Ground - Ill Fate/MDL1_vocals.flac,False,Set 7,3,80.35845804988662,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Hollow Ground - Ill Fate/STL1_vocals.flac,False,Set 7,3,80.35845804988662,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Hollow Ground - Ill Fate/TAK2_vocals.flac,False,Set 7,3,80.35845804988662,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Hollow Ground - Ill Fate/TAU1_vocals.flac,True,Set 7,3,80.35845804988662,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Hollow Ground - Ill Fate/UHL3_vocals.flac,False,Set 7,3,80.35845804988662,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/James Elder_Mark M Thompson - The English Actor/JY3_vocals.flac,False,Set 8,8,63.480453514739224,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/James Elder_Mark M Thompson - The English Actor/MDL1_vocals.flac,False,Set 8,8,63.480453514739224,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/James Elder_Mark M Thompson - The English Actor/STL1_vocals.flac,False,Set 8,8,63.480453514739224,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/James Elder_Mark M Thompson - The English Actor/TAK2_vocals.flac,False,Set 8,8,63.480453514739224,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/James Elder_Mark M Thompson - The English Actor/TAU1_vocals.flac,False,Set 8,8,63.480453514739224,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/James Elder_Mark M Thompson - The English Actor/UHL3_vocals.flac,True,Set 8,8,63.480453514739224,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/Juliet_s Rescue - Heartbeats/JY3_vocals.flac,False,Set 9,0,212.97632653061223,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Juliet_s Rescue - Heartbeats/MDL1_vocals.flac,False,Set 9,0,212.97632653061223,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Juliet_s Rescue - Heartbeats/STL1_vocals.flac,False,Set 9,0,212.97632653061223,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Juliet_s Rescue - Heartbeats/TAK2_vocals.flac,False,Set 9,0,212.97632653061223,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Juliet_s Rescue - Heartbeats/TAU1_vocals.flac,False,Set 9,0,212.97632653061223,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Juliet_s Rescue - Heartbeats/UHL3_vocals.flac,True,Set 9,0,212.97632653061223,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
JY3,sounds/Raft Monk - Tiring/JY3_vocals.flac,False,Set 10,2,46.46603174603172,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
MDL1,sounds/Raft Monk - Tiring/MDL1_vocals.flac,False,Set 10,2,46.46603174603172,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
STL1,sounds/Raft Monk - Tiring/STL1_vocals.flac,False,Set 10,2,46.46603174603172,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAK2,sounds/Raft Monk - Tiring/TAK2_vocals.flac,True,Set 10,2,46.46603174603172,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
TAU1,sounds/Raft Monk - Tiring/TAU1_vocals.flac,False,Set 10,2,46.46603174603172,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
UHL3,sounds/Raft Monk - Tiring/UHL3_vocals.flac,False,Set 10,2,46.46603174603172,False,True,pickthebest,46c58210-7ecb-11e8-af0a-7d93e525cf63
