Song,Algo,SDR
Al James - Schoolboy Facination,JY3,6.822575660402357
Al James - Schoolboy Facination,STL1,-3.0241691256044465
Al James - Schoolboy Facination,TAU1,7.646784694502689
Al James - Schoolboy Facination,MDL1,5.376245895276018
Al James - Schoolboy Facination,TAK2,7.076717297748284
Al James - Schoolboy Facination,UHL3,7.655662199907239
Buitraker - Revo X,JY3,1.6228688045125406
Buitraker - Revo X,STL1,-3.0742546449128225
Buitraker - Revo X,TAU1,1.9762898911668514
Buitraker - Revo X,MDL1,0.971375915180108
Buitraker - Revo X,TAK2,2.011057728282939
Buitraker - Revo X,UHL3,1.2490584408889085
Ben Carrigan - We_ll Talk About It All Tonight,JY3,2.86824737587233
Ben Carrigan - We_ll Talk About It All Tonight,STL1,-2.9042713712121677
Ben Carrigan - We_ll Talk About It All Tonight,TAU1,4.59942387003538
Ben Carrigan - We_ll Talk About It All Tonight,MDL1,-0.17582181155972298
Ben Carrigan - We_ll Talk About It All Tonight,TAK2,4.217267709260536
Ben Carrigan - We_ll Talk About It All Tonight,UHL3,4.229657621223635
James Elder_Mark M Thompson - The English Actor,JY3,4.398583816677513
James Elder_Mark M Thompson - The English Actor,STL1,-2.828025878032392
James Elder_Mark M Thompson - The English Actor,TAU1,5.126458554859445
James Elder_Mark M Thompson - The English Actor,MDL1,4.644665991032399
James Elder_Mark M Thompson - The English Actor,TAK2,5.160328243025338
James Elder_Mark M Thompson - The English Actor,UHL3,5.006690270847882
Hollow Ground - Ill Fate,JY3,4.487722523478689
Hollow Ground - Ill Fate,STL1,-3.284465297580682
Hollow Ground - Ill Fate,TAU1,6.654793365890875
Hollow Ground - Ill Fate,MDL1,4.029506039546
Hollow Ground - Ill Fate,TAK2,6.290767904249533
Hollow Ground - Ill Fate,UHL3,5.475403368525125
Signe Jakobsen - What Have You Done To Me,JY3,8.562816785432299
Signe Jakobsen - What Have You Done To Me,STL1,-1.9369443991784672
Signe Jakobsen - What Have You Done To Me,TAU1,10.859423785029543
Signe Jakobsen - What Have You Done To Me,MDL1,5.932995451554415
Signe Jakobsen - What Have You Done To Me,TAK2,10.736597618575527
Signe Jakobsen - What Have You Done To Me,UHL3,10.140803121074871
Angels In Amplifiers - I_m Alright,JY3,9.192714126175346
Angels In Amplifiers - I_m Alright,STL1,-2.945828072425669
Angels In Amplifiers - I_m Alright,TAU1,11.084027794713506
Angels In Amplifiers - I_m Alright,MDL1,6.6839252326920215
Angels In Amplifiers - I_m Alright,TAK2,10.325397278461562
Angels In Amplifiers - I_m Alright,UHL3,10.336376643043575
Tom McKenzie - Directions,JY3,5.692143430840554
Tom McKenzie - Directions,STL1,-3.1690426708785835
Tom McKenzie - Directions,TAU1,7.045994603672574
Tom McKenzie - Directions,MDL1,4.777469150484519
Tom McKenzie - Directions,TAK2,7.9336079183617585
Tom McKenzie - Directions,UHL3,7.196453436391888
The Sunshine Garcia Band - For I Am The Moon,JY3,8.752278918016367
The Sunshine Garcia Band - For I Am The Moon,STL1,-2.5340367345596193
The Sunshine Garcia Band - For I Am The Moon,TAU1,9.211714354384949
The Sunshine Garcia Band - For I Am The Moon,MDL1,6.77227876462478
The Sunshine Garcia Band - For I Am The Moon,TAK2,9.502035636326788
The Sunshine Garcia Band - For I Am The Moon,UHL3,5.914782086419499
Georgia Wonder - Siren,JY3,4.057087100279243
Georgia Wonder - Siren,STL1,-2.541407262741538
Georgia Wonder - Siren,TAU1,5.88524023240455
Georgia Wonder - Siren,MDL1,2.236046744611857
Georgia Wonder - Siren,TAK2,5.709712942828271
Georgia Wonder - Siren,UHL3,5.805600422568893
Juliet_s Rescue - Heartbeats,JY3,7.992780481872157
Juliet_s Rescue - Heartbeats,STL1,-3.046681947576701
Juliet_s Rescue - Heartbeats,TAU1,9.6298966036409
Juliet_s Rescue - Heartbeats,MDL1,3.900608948018132
Juliet_s Rescue - Heartbeats,TAK2,9.486797188514602
Juliet_s Rescue - Heartbeats,UHL3,9.197964128070097
Raft Monk - Tiring,JY3,3.808384608845093
Raft Monk - Tiring,STL1,-3.2714029924737096
Raft Monk - Tiring,TAU1,5.090219524945063
Raft Monk - Tiring,MDL1,1.837202261078927
Raft Monk - Tiring,TAK2,5.1757149323589315
Raft Monk - Tiring,UHL3,5.0765811741907365
Enda Reilly - Cur An Long Ag Seol,JY3,9.915895051677452
Enda Reilly - Cur An Long Ag Seol,STL1,-3.423922609819167
Enda Reilly - Cur An Long Ag Seol,TAU1,11.231562565787865
Enda Reilly - Cur An Long Ag Seol,MDL1,7.067373487785144
Enda Reilly - Cur An Long Ag Seol,TAK2,11.234700930999004
Enda Reilly - Cur An Long Ag Seol,UHL3,10.503422725490354
